City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
404,Narasapur,IN,85.57,overcast clouds,16.45,81.6667,UDIPI HOTEL COMFORTINN
405,Houma,US,82.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
407,Mumford,GH,76.48,overcast clouds,5.2618,-0.759,Spanish Villa
408,Brokopondo,SR,76.19,few clouds,4.75,-55.1667,Matu Island
409,Aksu,CN,90.18,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
410,New Ulm,US,80.56,clear sky,44.3125,-94.4605,Best Western Plus New Ulm
411,Soc Trang,VN,88.32,broken clouds,9.6033,105.98,Phu Quy Hotel
412,Churapcha,RU,62.11,overcast clouds,62.0025,132.4325,"""Tusku"""
416,The Valley,AI,81.82,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
417,Jalu,LY,70.21,clear sky,29.0331,21.5482,صاحبة الفخامة
418,Shenjiamen,CN,69.66,light rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
420,Vieques,PR,82.44,haze,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
423,Iranshahr,IR,87.04,clear sky,27.2025,60.6848,نیک سرشت
424,Sao Geraldo Do Araguaia,BR,71.01,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
426,Vao,NC,71.17,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
427,Muli,MV,83.28,broken clouds,2.9167,73.5667,Medhufushi Island Resort
428,Bonthe,SL,77.99,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
429,Pitimbu,BR,73.99,clear sky,-7.4706,-34.8086,Reserva do Abiaí
433,Raton,US,81.21,clear sky,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
434,Vila Velha,BR,69.75,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
435,Moerai,PF,75.4,overcast clouds,-22.4333,-151.3333,Le Manotel
438,San Roque,ES,72.43,overcast clouds,36.2107,-5.3842,Hotel Guadacorte Park
440,Shetpe,KZ,75.18,overcast clouds,44.1667,52.1167,Rtsm Shetpe Analog
441,Rafraf,TN,66.51,clear sky,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
442,Lorengau,PG,85.28,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
